DATE,AUS,AUT,BEL,CAN,CHE,DEU,DNK,ESP,FIN,FRA,GBR,GRC,HKG,IRL,ISR,ITA,JPN,NLD,NOR,NZL,PRT,SGP,SWE,USA
35286.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,-0.02,0.00,0.00,0.00,0.01,-0.01,0.00,0.00,0.00,-0.01,0.00,0.00,0.00
35289.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,-0.01,0.00,0.02,0.01,0.00,0.00,-0.01,-0.01
35290.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,-0.01,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00
35291.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.02,0.00,0.01,0.01,0.00,0.00,-0.01,-0.01,0.01,0.00,0.01,0.00,0.00
35292.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35293.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,-0.01,0.00,0.00,0.00,0.01,0.00,0.00
35296.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.01,-0.01,0.00,-0.01,0.00,0.01,0.00,-0.01,0.00,0.00,0.03,-0.01,0.00
35297.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.02,0.00,0.01,-0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.01,-0.01,0.00
35298.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,-0.01,-0.01,-0.01,-0.02,0.00,0.00,0.01,0.00,-0.01,0.00,-0.01,0.00,0.00
35299.00,0.01,0.01,0.00,0.00,0.00,-0.01,0.01,-0.01,0.00,-0.01,0.00,0.01,0.01,0.01,0.00,-0.01,0.00,0.00,0.00,-0.01,0.01,-0.01,-0.01,0.00
